Target affinity,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-10.0,4.540500000000003,0.5023892229351493,2.432606543748429,104.37,-9.5,-10
-10.0,3.5111000000000017,0.683574311253504,1.8208863524206151,39.44,-8.5,-10
-10.0,5.828000000000003,0.35567719141207305,3.9162513874194733,91.93,-9.8,-10
-10.0,3.423420000000002,0.6563487603780873,3.969450050226735,100.88,-9.3,-10
-10.0,6.3354000000000035,0.2373669525697075,2.5108987697831804,117.37,-10.0,-10
-10.0,7.355700000000005,0.33720859250584917,2.706647695573194,53.089999999999996,-9.3,-10
-10.0,6.099720000000006,0.3104296608751774,2.7343722404776845,101.4,-10.3,-10
-10.0,4.988700000000004,0.284038125196256,3.887109088085402,93.54000000000002,-9.4,-10
-10.0,4.448940000000004,0.37746529754387587,2.6085343139667216,79.54,-10.4,-10
-10.0,2.5285,0.5566710513007151,2.4445210086576825,61.82,-8.4,-10
-10.0,4.7619200000000035,0.34614943316339836,2.604088714139568,96.03,-9.3,-10
-10.0,2.5913000000000004,0.5051111495991351,2.739547339103643,103.14,-9.1,-10
-10.0,4.544800000000004,0.31372730811577965,4.1396225465663,103.84,-9.0,-10
-10.0,4.722300000000003,0.6040296516587679,2.8855673640798507,62.21,-10.8,-10
-10.0,5.663400000000005,0.3698914694200002,2.094873110175449,79.62,-9.2,-10
-10.0,6.5441000000000065,0.4649496296826597,3.732804262760826,25.240000000000002,-8.3,-10
-10.0,5.470220000000005,0.2349965541527564,2.7144428838486867,103.24,-10.8,-10
-10.0,4.618520000000002,0.48390592486571987,2.703499982691852,77.46000000000001,-9.9,-10
-10.0,4.440300000000002,0.20585326843864335,3.2911343294422037,141.76000000000002,-9.1,-10
-10.0,6.391600000000004,0.3549347844698654,3.2929263549413372,79.74000000000001,-10.2,-10
-10.0,4.007500000000002,0.7422166461267379,2.345709727066941,51.32,-9.5,-10
-10.0,7.183200000000007,0.28067544922901344,3.515499630849435,63.83,-10.2,-10
-10.0,6.781100000000005,0.24322248236270527,2.3643221970579944,57.42,-10.9,-10
-10.0,3.7303400000000027,0.8891760327081836,1.7882971396217222,66.48,-8.9,-10
-10.0,5.597920000000003,0.3430118632943244,2.265389603090428,97.33999999999999,-10.1,-10
-10.0,4.260120000000003,0.5073137169385433,2.701245393224207,68.92,-10.2,-10
-10.0,3.906340000000003,0.5329996782286357,2.2888973900227967,70.78999999999999,-9.5,-10
-10.0,6.169700000000004,0.3070183122817875,2.4283655274603984,114.28000000000002,-10.1,-10
-10.0,10.34639999999999,0.17087916706499995,2.8738146795686124,41.57,-10.0,-10
-10.0,3.9578700000000016,0.3426991652752669,2.314372494078686,120.98,-8.7,-10
-10.0,3.327020000000002,0.5860021925366603,2.8614966781739444,102.82,-9.8,-10
-10.0,5.519300000000005,0.3019424543735082,2.5008823915519667,70.01,-9.7,-10
-10.0,3.614220000000002,0.3636914620242762,3.1048577188441975,146.92000000000002,-8.5,-10
-10.0,2.4360999999999997,0.29581478353947566,2.6391056711809373,165.33,-9.8,-10
